Model,Accuracy,Precision,Recall,F1,ROC_AUC,Fit_Time_s,Inference_Time_ms
5-Layer MLP,0.896551724137931,0.9393939393939394,0.7560975609756098,0.8378378378378378,0.9388617886178862,1.6755780999083072,1.0064999805763364
Random Forest,0.8879310344827587,0.868421052631579,0.8048780487804879,0.8354430379746836,0.9663414634146341,0.9373089000582695,56.446800008416176
KNN (k=7),0.8189655172413793,0.8125,0.6341463414634146,0.7123287671232876,0.873821138211382,0.0031244999263435602,4.873199970461428
Logistic Regression,0.7844827586206896,0.7352941176470589,0.6097560975609756,0.6666666666666666,0.8995121951219511,0.009935899986885488,0.8472000481560826
